id,topic,question,optionA,optionB,optionC,optionD,correctLetter,correctAnswerIndex,image
Q001,NCA 6.10,Which Nutanix Support case priority level indicates that the system is available but experiencing issues that directly impact productivity?,P1,P2,P3,P4,B,1,
Q002,NCA 6.10,An administrator is conducting updates in a Nutanix cluster and is being prompted for handling non-migratable VMs. Which VM type is non-migratable?,VMs without NGT,Memory Overcommitted VMs,VMs with attached Volume Groups,VMs marked as an Agent,C,2,
Q003,NCA 6.10,An administrator wants to collect log files that have been requested by Nutanix Support. From which Prism Element dashboard can this be accomplished?,Health,Alerts,Settings,Analysis,A,0,
Q004,NCA 6.10,Which storage container option reduces the available storage to other containers?,Reserved Capacity,Capacity Deduplication,Advertised Capacity,Erasure Coding,A,0,
Q005,NCA 6.10,An administrator has spent time correcting specific issues that have been identified by NCC Health Checks in Prism Element. How can just the checks that previously did not pass be executed again to confirm they are all resolved?,Select Only Failed And Warning Checks.,Run LCM Pre-Upgrade to trigger NCC Checks.,Select Run Check for each check worked.,Run nee health checks run all.,A,0,
Q006,NCA 6.10,Shared storage for Windows Server Failover Clustering (WSFC) is a use case for which Nutanix Unified Storage solution?,FT1,Files,RF2,Volumes,D,3,
Q007,NCA 6.10,"When using the LCM Dark Site procedure in Prism Element or Prism Central, which Nutanix software component should be checked and upgraded first?",Foundation,LCM Framework,NCC,MSP,B,1,
Q008,NCA 6.10,"When configuring a physical network switch in Prism Element, what information is required?",SMTP Configuration,SNMP Configuration,NTP Configuration,DNS Configuration,B,1,
Q009,NCA 6.10,Which storage protocol is used by Nutanix Distributed Storage Fabric (DSF) to provide access to an ESXi hypervisor?,NFS,SMB,iSCSI,LVM,A,0,
Q010,NCA 6.10,Which bridge does the Controller VM use by default to communicate with the AHV host it runs on?,Vs0,Br0,Bridge0,Virbr0,D,3,
Q011,NCA 6.10,"Within Prism Central, which Compute and Storage section will allow an administrator to upload a Windows ISO file?",Catalog Items,Templates,Images,OVAs,C,2,
Q012,NCA 6.10,What priority case can be opened to guarantee a 8-hour response for a customer with Production Support?,P1,P2,P3,P4,C,2,
Q013,NCA 6.10,An administrator wants to enable Windows Defender Credential Guard. What must be enabled when creating the VM?,Live Migration,Legacy BIOS,UEFI,HA,C,2,
Q014,NCA 6.10,Which feature should be enabled to prevent password access to the CVM for both the nutanix and admin user accounts?,Cluster lockdown,Data-at-Rest Encryption,RBAC Policy on PC,STIG,A,0,
Q015,NCA 6.10,An administrator needs to remove several old VM snapshots. From which Prism Element dashboard should the administrator complete this task?,Tasks,Settings,Storage,VM,D,3,
Q016,NCA 6.10,An administrator needs to automate the migration of a VM from ESXi to AHV. Which utility should the administrator use?,acli,ncli,Flow,Move,D,3,
