id,question_preview,image
Q001,Which Nutanix Support case priority level indicates that the system is available but experiencing issues that directly impact productivity?,
Q002,An administrator is conducting updates in a Nutanix cluster and is being prompted for handling non-migratable VMs. Which VM type is non-migratable?,
Q003,An administrator wants to collect log files that have been requested by Nutanix Support. From which Prism Element dashboard can this be accomplished?,
Q004,Which storage container option reduces the available storage to other containers?,
Q005,An administrator has spent time correcting specific issues that have been identified by NCC Health Checks in Prism Element. How can just the checks that previously did not pass be ,
Q006,Shared storage for Windows Server Failover Clustering (WSFC) is a use case for which Nutanix Unified Storage solution?,
Q007,"When using the LCM Dark Site procedure in Prism Element or Prism Central, which Nutanix software component should be checked and upgraded first?",
Q008,"When configuring a physical network switch in Prism Element, what information is required?",
Q009,Which storage protocol is used by Nutanix Distributed Storage Fabric (DSF) to provide access to an ESXi hypervisor?,
Q010,Which bridge does the Controller VM use by default to communicate with the AHV host it runs on?,
Q011,"Within Prism Central, which Compute and Storage section will allow an administrator to upload a Windows ISO file?",
Q012,What priority case can be opened to guarantee a 8-hour response for a customer with Production Support?,
Q013,An administrator wants to enable Windows Defender Credential Guard. What must be enabled when creating the VM?,
Q014,Which feature should be enabled to prevent password access to the CVM for both the nutanix and admin user accounts?,
Q015,An administrator needs to remove several old VM snapshots. From which Prism Element dashboard should the administrator complete this task?,
Q016,An administrator needs to automate the migration of a VM from ESXi to AHV. Which utility should the administrator use?,
Q017,"When multiple Alert policies are applied to an entity, which will take precedence?",
Q018,"An administrator needs to implement a disaster recovery plan. The company has two sites, each with its own Nutanix AHV cluster. Latency between the sites is 30ms. Which built-in fu",
Q019,"An administrator is configuring Erasure Coding on a Redundancy Factor 2 cluster. How many nodes, at a minimum, are necessary?",
Q020,"For dark site clusters, what should be downloaded prior to running an LCM inventory or updates?",
Q021,"On a newly-deployed AHV cluster, what is the default virtual switch (vsO) uplink bond type?",
Q022,At what time does LCM auto-inventory run by default?,
Q023,An administrator receives the alert: What is the most likely cause?,
Q024,Which Nutanix Disaster Recovery component or feature provides the best Recovery Time Objective (RTO)?,
Q025,What is the default admin session log out time?,
Q026,An administrator is performing AHV upgrades on an 8-node cluster configured with Redundancy Factor 3. How many nodes would be placed into maintenance mode simultaneously?,
Q027,An administrator needs to ensure that the three VMs of an application cluster are never placed onto the same hypervisor by creating a VM­ VM Anti-Affinity Policy. What should the a,
Q028,An administrator needs to create a VM Template from an existing VM. What is required for this action to be successful?,
Q029,"After starting LCM updates, an administrator would like to see a detailed view of each update as it progresses. Which Prism Element dashboard should the administrator use to monito",
Q030,An administrator has been directed to ensure that all Prism Element and Prism Central clusters allow Nutanix Support to gather logs without needing engagement. What should the admi,
Q031,"Nutanix Support has asked an administrator to provide an NCC output, but there is no access to the command line. What should the administrator do to provide the requested NCC outpu",
Q032,An administrator wants to apply tags to licenses to simplify future renewals. What interface would be used to complete this operation?,
Q033,An administrator is looking to upgrade their licensing on a Nutanix cluster. Which licensing levels are available for a Nutanix cluster?,
Q034,Which Nutanix offering allows for extending an on-prem datacenter into the public cloud?,
Q035,Which storage protocol is supported for a datastore when using ESXi as the hypervisor within a Nutanix cluster?,
Q036,An administrator needs to license a new AOS-based cluster with no add-on packages via Nutanix Cloud Platform Package Licensing. What license type would fulfill this requirement?,
Q037,"When configuring dual encryption, which key management method is supported?",
Q038,"An administrator wants to change from Redundancy Factor 2 to 3, but it is not allowed. What must the administrator check?",
Q039,Refer to the exhibit. What should be first selected to run a full health check?,./images/q039_exhibit.png
Q040,"A Veeam Backup appliance, which uses iSCSI, must be deployed into an AHV-based cluster. What must be configured to allow Veeam to connect to the Nutanix cluster?",
Q041,An administrator needs to configure a solution that ensures VMs automatically power on in a specific order at the DR site in the event of a disaster. Which feature will achieve thi,
Q042,What is the purpose of the Oplog?,
Q043,What role does a Replication Factor of 2 or 3 play in ensuring data integrity and recovery?,
