id,objective,topic,difficulty,sourceStatus,question,correctAnswer,explanation
NCA610-STO-001,4.1,Replication Factor,Easy,VALIDATED_SOURCE_DERIVED,"In Prism Element, policies such as replication factor and storage efficiency settings are applied to which object?",Storage container,"Replication factor and efficiency settings such as compression, deduplication, and erasure coding are container-level settings."
NCA610-STO-002,4.1,Redundancy Factor,Easy,VALIDATED_SOURCE_DERIVED,What is the minimum cluster size required for Redundancy Factor 3?,5 nodes,"RF3 requires at least five nodes/blocks/racks depending on the failure domain, because it is designed to tolerate two failures."
NCA610-STO-003,4.1,Replication Factor,Easy,VALIDATED_SOURCE_DERIVED,On which entity is Replication Factor configured?,Storage container,Replication Factor controls data and metadata copies at the storage container level.
NCA610-STO-004,4.6,Nutanix Volumes,Medium,CORRECTED_SOURCE_DERIVED,Which Nutanix product or feature is most appropriate when a Microsoft SQL cluster requires shared block storage?,Nutanix Volumes,"SQL clustering scenarios that require shared block/iSCSI-style access align with Nutanix Volumes, not S3 object storage."
NCA610-IMG-001,2.1,Image Management,Easy,VALIDATED_SOURCE_DERIVED,Which Prism Central feature can map images to target clusters by using categories?,Image Placement Policies,Image Placement Policies use categories associated with images and clusters to control image placement.
NCA610-MON-001,3.1,Analysis Charts,Medium,CORRECTED_SOURCE_DERIVED,An administrator wants one chart that shows the same logical usage metric for three storage containers. Which chart type best fits this requirement?,Metric Chart,A metric chart focuses on one metric across one or more entities. An entity chart focuses on one entity with multiple metrics.
NCA610-STO-005,4.1,RF1 Requirements,Medium,CORRECTED_SOURCE_DERIVED,What must be carefully considered before using Replication Factor 1 (RF1)?,The application must provide its own resiliency or tolerate data loss,"RF1 keeps only one copy, so the workload must provide its own protection or be disposable/temporary."
NCA610-VM-001,2.1,Agent VM Placement,Medium,CORRECTED_SOURCE_DERIVED,An administrator must deploy one virtual firewall VM on every AHV host and keep each firewall VM tied to its host. Which feature is designed for this use case?,Agent VM configuration,"Agent VMs are used for per-host appliances that should maintain host affinity, such as certain security or network appliances."
NCA610-HEA-001,3.1,Health Dashboard,Easy,CORRECTED_SOURCE_DERIVED,"After logging in to Prism Element, an administrator sees a red health indicator. Which dashboard should be used first to isolate the cause?",Health,The Health dashboard is the dedicated view for health checks and affected entities in Prism Element.
NCA610-PRI-001,2.2,Prism Element Access,Easy,VALIDATED_SOURCE_DERIVED,Which IP address can be used to directly access Prism Element for a cluster?,Any Controller VM IP address in the cluster,Prism Element runs on the cluster CVMs and can be accessed using the cluster virtual IP or a CVM IP.
